<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20210324,7.5000,7.5000,6.8000,7.2000,2304349,7.5000,7.5000,6.8000,7.2000,0,0,800
SBS,20210323,7.4000,7.5000,7.2000,7.5000,1828420,7.4000,7.5000,7.2000,7.5000,0,0,2200
SBS,20210322,7.6000,7.6000,7.3000,7.5000,1702744,7.6000,7.6000,7.3000,7.5000,0,0,0
SBS,20210319,7.5000,7.6000,7.3000,7.6000,2431059,7.5000,7.6000,7.3000,7.6000,0,0,6900
SBS,20210318,7.5000,7.7000,7.4000,7.6000,1534014,7.5000,7.7000,7.4000,7.6000,0,0,0
SBS,20210317,7.6000,7.6000,7.4000,7.5000,1587073,7.6000,7.6000,7.4000,7.5000,0,600,0
SBS,20210316,7.4000,7.6000,7.3000,7.6000,3138754,7.4000,7.6000,7.3000,7.6000,90,10900,0
SBS,20210315,7.4000,7.4000,7.2000,7.4000,1473700,7.4000,7.4000,7.2000,7.4000,0,28400,0
SBS,20210312,7.6000,7.8000,7.3000,7.4000,1459136,7.6000,7.8000,7.3000,7.4000,0,2000,0
SBS,20210311,7.3000,7.7000,7.2000,7.6000,2282768,7.3000,7.7000,7.2000,7.6000,0,0,300
SBS,20210310,7.1000,7.3000,6.9000,7.3000,2121161,7.1000,7.3000,6.9000,7.3000,0,300,2500
SBS,20210309,7.5000,7.5000,6.9000,7.1000,3919600,7.5000,7.5000,6.9000,7.1000,0,5200,12000
SBS,20210308,7.9000,8.2000,7.4000,7.5000,2454674,7.9000,8.2000,7.4000,7.5000,0,5200,12000
SBS,20210305,7.5000,8.0000,7.1000,7.8000,2780227,7.5000,8.0000,7.1000,7.8000,0,103000,0
SBS,20210304,6.3000,7.1000,6.3000,7.1000,8044379,6.3000,7.1000,6.3000,7.1000,0,0,0
SBS,20210303,6.3000,6.3000,6.1000,6.3000,1483517,6.3000,6.3000,6.1000,6.3000,0,0,168500
SBS,20210302,6.3000,6.4000,6.1000,6.3000,1469420,6.3000,6.4000,6.1000,6.3000,0,6500,0
SBS,20210301,6.0000,6.4000,5.6000,6.2000,1498660,6.0000,6.4000,5.6000,6.2000,0,7000,0
SBS,20210226,6.5000,6.5000,6.1000,6.3000,783588,6.5000,6.5000,6.1000,6.3000,0,0,10000
SBS,20210225,6.5000,6.6000,6.2000,6.4000,1105100,6.5000,6.6000,6.2000,6.4000,0,0,0
SBS,20210224,6.2000,6.6000,6.1000,6.3000,2610175,6.2000,6.6000,6.1000,6.3000,0,20,24700
SBS,20210223,6.2000,6.2000,5.9000,6.2000,1185747,6.2000,6.2000,5.9000,6.2000,0,0,6900
SBS,20210222,6.2000,6.4000,6.1000,6.2000,978150,6.2000,6.4000,6.1000,6.2000,0,0,0
SBS,20210219,6.3000,6.3000,6.0000,6.2000,1324100,6.3000,6.3000,6.0000,6.2000,0,5000,0
SBS,20210218,6.5000,6.5000,6.2000,6.2000,2471149,6.5000,6.5000,6.2000,6.2000,0,5000,0
